Project,Room,Spec,Cab_No,Width,Height,Depth,Num_Doors,Num_Shelves,Fin_Interior,Fin_Left,Fin_Right,Fin_Top,Fin_Bottom
Smith Residence,Kitchen,Dark Cherry,1,9,31,24,1,3,False,False,False,False,False
Smith Residence,Bath,Light Cherry,2,18,31,24,2,3,False,False,False,False,False
Smith Residence,Entry,White,3,27,31,24,1,3,False,False,False,False,True
Davidson Residence,Kitchen,Light Gray,1,36,31,12,2,2,False,False,False,False,False
Davidson Residence,Bath,Light Gray,2,36,36,12,1,2,False,False,False,False,False
Davidson Residence,Entry,Dark Gray,3,36,36,12,2,2,True,False,False,False,False
Davidson Residence,Laundry,Walnut,4,36,36,12,1,2,False,False,False,False,False
Anderson Residence,Kitchen,Maple,1,36,36,12,2,2,False,False,False,False,False
Anderson Residence,Bath,Red,2,9,36,12,2,2,False,False,False,False,False
Anderson Residence,Entry,Maple,3,18,40,12,1,2,False,False,True,False,False
Anderson Residence,Laundry,Red,4,27,31,24,1,1,False,False,False,False,False
Roberts Residence,Laundry,Alder Natural,1,36,31,24,1,1,False,False,False,False,False
Roberts Residence,Kitchen,Alder Stain,2,36,31,24,3,1,False,True,False,False,False
Roberts Residence,Bath,Oak Natural,3,36,31,24,2,1,False,False,False,False,False
Roberts Residence,Entry,Oak Stain,4,36,36,16,3,1,False,False,False,False,False
Starbucks,First,SB 1,1,36,36,18,1,1,False,False,False,False,False
Starbucks,Second,SB 1,2,9,36,24,2,1,False,False,False,False,False
Starbucks,Third,SB 1,3,18,36,24,1,1,True,False,False,False,False
Starbucks,Fourth,SB 2,4,27,36,12,2,3,False,False,False,True,False
Grocery Outlet,First,GO 1,1,36,40,24,1,3,False,False,False,False,False
Grocery Outlet,Second,GO 1,2,36,94,24,2,3,False,False,False,False,False
Grocery Outlet,Third,GO 1,3,36,31,24,1,2,False,False,False,False,False
Grocery Outlet,Fourth,GO 1,4,36,31,12,2,2,False,False,False,False,False
Code Fellows,First,CF 1,1,36,31,12,1,2,False,False,False,False,False
Code Fellows,Second,CF 1,2,9,31,12,2,2,False,False,False,False,False
Code Fellows,Third,CF 1,3,18,36,12,2,2,False,False,False,False,False
Code Fellows,Fourth,CF 2,4,27,36,12,1,2,False,False,False,False,False
Code Fellows,Fifth,CF 2,5,36,36,12,1,2,False,False,False,False,False
Tableo,First,Spec 1,1,36,36,12,1,1,False,False,False,False,False
Tableo,Second,Spec 1,2,36,36,24,3,1,False,False,False,False,False
Tableo,Third,Spec 2,3,36,40,24,2,1,False,False,False,False,False
Meyer Moulding,First,Spec 1,1,9,31,24,3,1,False,False,False,False,False
Meyer Moulding,Second,Spec 1,2,18,31,24,1,1,False,False,False,False,False
Meyer Moulding,Third,Spec 1,3,27,31,16,2,1,False,False,False,False,False
Meyer Moulding,Fourth,Spec 1,4,36,31,18,1,1,False,False,False,False,False
Santa Cruz Lumber,First,Walnut,1,9,36,24,2,1,False,False,False,False,True
Santa Cruz Lumber,Second,Walnut,2,18,36,24,1,3,False,False,False,False,False
Santa Cruz Lumber,Third,Walnut,3,27,36,12,2,3,False,False,False,False,False
Santa Cruz Lumber,Fourth,Walnut,4,36,36,12,1,3,False,False,False,False,False
Old Mill Kitchen,First,Alder,1,36,36,12,2,2,False,False,False,False,False
Old Mill Kitchen,Second,Cherry,2,36,40,12,1,2,False,False,False,False,False
Old Mill Kitchen,Third,Alder,3,36,94,12,2,2,True,True,True,True,True
Old Mill Kitchen,Fourth,Alder,4,36,36,12,2,2,False,False,False,False,False
Old Mill Kitchen,Fifth,Cherry,5,9,36,12,1,2,False,False,False,False,False
Ipad Monkey's,First,Spec 1,1,18,36,12,1,2,False,False,False,False,False
Ipad Monkey's,Second,Spec 2,2,27,36,24,1,2,False,False,False,False,False
Ipad Monkey's,Third,Spec 3,3,36,36,24,3,1,False,False,False,False,False
Ipad Monkey's,Fourth,Spec 2,4,36,40,24,2,1,False,False,False,False,False
Ipad Monkey's,Fifth,Spec 3,5,36,31,24,3,1,False,False,False,False,False
Country Store,First,Spec 1,1,36,31,16,1,1,False,False,False,False,False
Country Store,Second,Spec 1,2,36,31,18,2,1,False,False,False,False,False
Country Store,Third,Spec 1,3,9,31,24,1,1,False,False,False,False,False
Country Store,Fourth,Spec 1,4,18,36,24,2,1,False,False,False,False,False
Farm House,First,FH 1,1,27,36,12,1,1,False,False,False,False,False
Farm House,Second,FH 1,2,36,36,24,2,3,False,False,False,False,False
Farm House,Third,FH 1,3,36,36,24,1,3,False,False,False,False,False
Farm House,Fourth,FH 1,4,36,36,24,2,3,False,False,False,False,False
Farm House,Fifth,FH 2,5,9,40,12,1,2,False,False,False,False,False
Jail House,First,Standard,1,18,94,12,2,2,True,True,True,True,True
Jail House,Second,Standard,2,27,36,12,2,2,False,False,False,False,False
Jail House,Third,Standard,3,36,40,12,1,2,False,False,False,False,False
Jail House,Fourth,Standard,4,36,94,12,1,2,False,False,False,False,False
Jail House,Fifth,Standard,5,36,94,12,1,2,False,False,False,True,False
