Project,Cab_No,Height,Material
Smith Residence,1,4,Drawer Material
Smith Residence,1,4,Drawer Material
Smith Residence,2,4,Drawer Material
Davidson Residence,2,4,Drawer Material
Davidson Residence,2,4,Drawer Material
Smith Residence,1,6,Drawer Material
Davidson Residence,2,6,Drawer Material
Davidson Residence,2,6,Drawer Material
Code Fellows,1,8,Drawer Material
Code Fellows,2,8,Drawer Material
Code Fellows,3,8,Drawer Material
Code Fellows,4,8,Drawer Material
Code Fellows,5,8,Drawer Material
Smith Residence,1,10,Drawer Material
Starbucks,1,10,Drawer Material
Starbucks,2,10,Drawer Material
Starbucks,3,10,Drawer Material
Starbucks,4,10,Drawer Material
Tableau,1,10,Drawer Material
Anderson Residence,1,12,Drawer Material
Anderson Residence,2,12,Drawer Material
Tableau,2,12,Drawer Material
Tableau,3,12,Drawer Material
Grocery Outlet,1,4,Drawer Material
Grocery Outlet,1,4,Drawer Material
Grocery Outlet,3,4,Drawer Material
Grocery Outlet,3,4,Drawer Material
Old Mill Kitchen,1,4,Drawer Material
Old Mill Kitchen,1,6,Drawer Material
Old Mill Kitchen,2,6,Drawer Material
Old Mill Kitchen,3,6,Drawer Material
Anderson Residence,1,8,Drawer Material
Anderson Residence,2,8,Drawer Material
Old Mill Kitchen,4,8,Drawer Material
Ipad Monkey's,1,8,Drawer Material
Ipad Monkey's,2,8,Drawer Material
Old Mill Kitchen,5,10,Drawer Material
Old Mill Kitchen,4,10,Drawer Material
Old Mill Kitchen,1,10,Drawer Material
Country Store,1,10,Drawer Material
Country Store,2,10,Drawer Material
Country Store,3,10,Drawer Material
Old Mill Kitchen,2,12,Drawer Material
Old Mill Kitchen,3,12,Drawer Material
Country Store,4,12,Drawer Material
Country Store,4,12,Drawer Material
