Project,Room,Cab_No
Smith Residence,Kitchen,1
Smith Residence,Bath,2
Smith Residence,Entry,3
Davidson Residence,Kitchen,1
Davidson Residence,Bath,2
Davidson Residence,Entry,3
Davidson Residence,Laundry,4
Anderson Residence,Kitchen,1
Anderson Residence,Bath,2
Anderson Residence,Entry,3
Anderson Residence,Laundry,4
Roberts Residence,Laundry,1
Roberts Residence,Kitchen,2
Roberts Residence,Bath,3
Roberts Residence,Entry,4
Starbucks,Kitchen,1
Starbucks,Bath 1,2
Starbucks,Bath 2,3
Starbucks,Laundry,4
Grocery Outlet,Kitchen,1
Grocery Outlet,Bath 1,2
Grocery Outlet,Bath 2,3
Grocery Outlet,Laundry,4
Code Fellows,Kitchen,1
Code Fellows,Bath 1,2
Code Fellows,Bath 2,3
Code Fellows,Laundry,4
Code Fellows,Master Bath,5
Tableau,Kitchen,1
Tableau,Bath 1,2
Tableau,Bath 2,3
Meyer Moulding,Kitchen,1
Meyer Moulding,Bath 1,2
Meyer Moulding,Bath 2,3
Meyer Moulding,Laundry,4
Santa Cruz Lumber,Kitchen,1
Santa Cruz Lumber,Bath 1,2
Santa Cruz Lumber,Bath 2,3
Santa Cruz Lumber,Laundry,4
Old Mill Kitchen,Kitchen,1
Old Mill Kitchen,Bath 1,2
Old Mill Kitchen,Bath 2,3
Old Mill Kitchen,Laundry,4
Old Mill Kitchen,Master Bath,5
Ipad Monkey's,Kitchen,1
Ipad Monkey's,Bath 1,2
Ipad Monkey's,Bath 2,3
Ipad Monkey's,Laundry,4
Ipad Monkey's,Master Bath,5
Country Store,Kitchen,1
Country Store,Bath 1,2
Country Store,Bath 2,3
Country Store,Laundry,4
Farm House,Kitchen,1
Farm House,Bath 1,2
Farm House,Bath 2,3
Farm House,Laundry,4
Farm House,Master Bath,5
Jail House,Kitchen,1
Jail House,Bath 1,2
Jail House,Bath 2,3
Jail House,Laundry,4
Jail House,Master Bath,5
