Project,Room,Spec,Cab_No,Width,Height,Depth,Num_Doors,Num_Shelves,Fin_Interior,Fin_Left,Fin_Right,Fin_Top,Fin_Bottom
Smith Residence,Kitchen,Dark Cherry,1,9,31,24,1,3,False ,False ,False ,False ,False
Smith Residence,Bath,Light Cherry,2,18,31,24,2,3,False ,False ,False ,False ,False
Smith Residence,Entry,White,3,27,31,24,1,3,False ,False ,False ,False ,True
Davidson Residence,Kitchen,Light Gray,1,36,31,12,2,2,False ,False ,False ,False ,False
Davidson Residence,Bath,Light Gray,2,36,36,12,1,2,False ,False ,False ,False ,False
Davidson Residence,Entry,Dark Gray,3,36,36,12,2,2,True,False ,False ,False ,False
Davidson Residence,Laundry,Walnut,4,36,36,12,1,2,False ,False ,False ,False ,False
Anderson Residence,Kitchen,Maple,1,36,36,12,2,2,False ,False ,False ,False ,False
Anderson Residence,Bath,Red,2,9,36,12,2,2,False ,False ,False ,False ,False
Anderson Residence,Entry,Maple,3,18,40,12,1,2,False ,False ,True,False ,False
Anderson Residence,Laundry,Red,4,27,31,24,1,1,False ,False ,False ,False ,False
Roberts Residence,Laundry,Alder Natural,1,36,31,24,1,1,False ,False ,False ,False ,False
Roberts Residence,Kitchen,Alder Stain,2,36,31,24,3,1,False ,True,False ,False ,False
Roberts Residence,Bath,Oak Natural,3,36,31,24,2,1,False ,False ,False ,False ,False
Roberts Residence,Entry,Oak Stain,4,36,36,16,3,1,False ,False ,False ,False ,False
Starbucks,Kitchen,SB 1,1,36,36,18,1,1,False ,False ,False ,False ,False
Starbucks,Bath 1,SB 1,2,9,36,24,2,1,False ,False ,False ,False ,False
Starbucks,Bath 2,SB 1,3,18,36,24,1,1,True,False ,False ,False ,False
Starbucks,Laundry,SB 2,4,27,36,12,2,3,False ,False ,False ,True,False
Grocery Outlet,Kitchen,GO 1,1,36,40,24,1,3,False ,False ,False ,False ,False
Grocery Outlet,Bath 1,GO 1,2,36,94,24,2,3,False ,False ,False ,False ,False
Grocery Outlet,Bath 2,GO 1,3,36,31,24,1,2,False ,False ,False ,False ,False
Grocery Outlet,Laundry,GO 1,4,36,31,12,2,2,False ,False ,False ,False ,False
Code Fellows,Kitchen,CF 1,1,36,31,12,1,2,False ,False ,False ,False ,False
Code Fellows,Bath 1,CF 1,2,9,31,12,2,2,False ,False ,False ,False ,False
Code Fellows,Bath 2,CF 1,3,18,36,12,2,2,False ,False ,False ,False ,False
Code Fellows,Laundry,CF 2,4,27,36,12,1,2,False ,False ,False ,False ,False
Code Fellows,Master Bath,CF 2,5,36,36,12,1,2,False ,False ,False ,False ,False
Tableau,Kitchen,Spec 1,1,36,36,12,1,1,False ,False ,False ,False ,False
Tableau,Bath 1,Spec 1,2,36,36,24,3,1,False ,False ,False ,False ,False
Tableau,Bath 2,Spec 2,3,36,40,24,2,1,False ,False ,False ,False ,False
Meyer Moulding,Kitchen,Spec 1,1,9,31,24,3,1,False ,False ,False ,False ,False
Meyer Moulding,Bath 1,Spec 1,2,18,31,24,1,1,False ,False ,False ,False ,False
Meyer Moulding,Bath 2,Spec 1,3,27,31,16,2,1,False ,False ,False ,False ,False
Meyer Moulding,Laundry,Spec 1,4,36,31,18,1,1,False ,False ,False ,False ,False
Santa Cruz Lumber,Kitchen,Walnut,1,9,36,24,2,1,False ,False ,False ,False ,True
Santa Cruz Lumber,Bath 1,Walnut,2,18,36,24,1,3,False ,False ,False ,False ,False
Santa Cruz Lumber,Bath 2,Walnut,3,27,36,12,2,3,False ,False ,False ,False ,False
Santa Cruz Lumber,Laundry,Walnut,4,36,36,12,1,3,False ,False ,False ,False ,False
Old Mill Kitchen,Kitchen,Alder,1,36,36,12,2,2,False ,False ,False ,False ,False
Old Mill Kitchen,Bath 1,Cherry,2,36,40,12,1,2,False ,False ,False ,False ,False
Old Mill Kitchen,Bath 2,Alder,3,36,94,12,2,2,True,True,True,True,True
Old Mill Kitchen,Laundry,Alder,4,36,36,12,2,2,False ,False ,False ,False ,False
Old Mill Kitchen,Master Bath,Cherry,5,9,36,12,1,2,False ,False ,False ,False ,False
Ipad Monkey's,Kitchen,Spec 1,1,18,36,12,1,2,False ,False ,False ,False ,False
Ipad Monkey's,Bath 1,Spec 2,2,27,36,24,1,2,False ,False ,False ,False ,False
Ipad Monkey's,Bath 2,Spec 3,3,36,36,24,3,1,False ,False ,False ,False ,False
Ipad Monkey's,Laundry,Spec 2,4,36,40,24,2,1,False ,False ,False ,False ,False
Ipad Monkey's,Master Bath,Spec 3,5,36,31,24,3,1,False ,False ,False ,False ,False
Country Store,Kitchen,Spec 1,1,36,31,16,1,1,False ,False ,False ,False ,False
Country Store,Bath 1,Spec 1,2,36,31,18,2,1,False ,False ,False ,False ,False
Country Store,Bath 2,Spec 1,3,9,31,24,1,1,False ,False ,False ,False ,False
Country Store,Laundry,Spec 1,4,18,36,24,2,1,False ,False ,False ,False ,False
Farm House,Kitchen,FH 1,1,27,36,12,1,1,False ,False ,False ,False ,False
Farm House,Bath 1,FH 1,2,36,36,24,2,3,False ,False ,False ,False ,False
Farm House,Bath 2,FH 1,3,36,36,24,1,3,False ,False ,False ,False ,False
Farm House,Laundry,FH 1,4,36,36,24,2,3,False ,False ,False ,False ,False
Farm House,Master Bath,FH 2,5,9,40,12,1,2,False ,False ,False ,False ,False
Jail House,Kitchen,Standard,1,18,94,12,2,2,True,True,True,True,True
Jail House,Bath 1,Standard,2,27,36,12,2,2,False ,False ,False ,False ,False
