Project,Cab_No,Height,Material
Smith Residence,1,4,Prefinished Birch Plywood
Smith Residence,1,4,Prefinished Birch Plywood
Smith Residence,2,4,Prefinished Birch Plywood
Davidson Residence,2,4,Prefinished Birch Plywood
Davidson Residence,2,4,Prefinished Birch Plywood
Smith Residence,1,6,Prefinished Birch Plywood
Davidson Residence,2,6,Prefinished Birch Plywood
Davidson Residence,2,6,Prefinished Birch Plywood
Code Fellows,1,8,Prefinished Birch Plywood
Code Fellows,2,8,Prefinished Birch Plywood
Code Fellows,3,8,Prefinished Birch Plywood
Code Fellows,4,8,Prefinished Birch Plywood
Code Fellows,5,8,Prefinished Birch Plywood
Smith Residence,1,10,Prefinished Birch Plywood
Starbucks,1,10,Prefinished Birch Plywood
Starbucks,2,10,Prefinished Birch Plywood
Starbucks,3,10,Prefinished Birch Plywood
Starbucks,4,10,Prefinished Birch Plywood
Tableau,1,10,Prefinished Birch Plywood
Anderson Residence,1,12,Prefinished Birch Plywood
Anderson Residence,2,12,Prefinished Birch Plywood
Tableau,2,12,Prefinished Birch Plywood
Tableau,3,12,Prefinished Birch Plywood
Grocery Outlet,1,4,Prefinished Birch Plywood
Grocery Outlet,1,4,Prefinished Birch Plywood
Grocery Outlet,3,4,Prefinished Birch Plywood
Grocery Outlet,3,4,Prefinished Birch Plywood
Old Mill Kitchen,1,4,Prefinished Birch Plywood
Old Mill Kitchen,1,6,Prefinished Birch Plywood
Old Mill Kitchen,2,6,Prefinished Birch Plywood
Old Mill Kitchen,3,6,Prefinished Birch Plywood
Anderson Residence,1,8,Prefinished Birch Plywood
Anderson Residence,2,8,Prefinished Birch Plywood
Old Mill Kitchen,4,8,Prefinished Birch Plywood
Ipad Monkey's,1,8,Prefinished Birch Plywood
Ipad Monkey's,2,8,Prefinished Birch Plywood
Old Mill Kitchen,5,10,Prefinished Birch Plywood
Old Mill Kitchen,4,10,Prefinished Birch Plywood
Old Mill Kitchen,1,10,Prefinished Birch Plywood
Country Store,1,10,Prefinished Birch Plywood
Country Store,2,10,Prefinished Birch Plywood
Country Store,3,10,Prefinished Birch Plywood
Old Mill Kitchen,2,12,Prefinished Birch Plywood
Old Mill Kitchen,3,12,Prefinished Birch Plywood
Country Store,4,12,Prefinished Birch Plywood
Country Store,4,12,Prefinished Birch Plywood
