Item_Name,Minutes,Units,Category
Cabinet,120,Each,Production
Door,60,Each,Production
Drawer,60,Each,Production
Shelf,5,Each,Production
Unfinished,0,Sq Ft,Finishing
Sand & Prep Only,3,Sq Ft,Finishing
Clear,6,Sq Ft,Finishing
Stain,8,Sq Ft,Finishing
Stain & Glaze,12,Sq Ft,Finishing
Stain & Distress,12,Sq Ft,Finishing
"Stain, Glaze, & Distress",16,Sq Ft,Finishing
Paint,10,Sq Ft,Finishing
Paint & Glaze,14,Sq Ft,Finishing
Paint & Distress,14,Sq Ft,Finishing
"Paint, Glaze, & Distress",18,Sq Ft,Finishing
